,index,AT_load_actual_entsoe_power_statistics,AT_load_actual_entsoe_transparency,AT_price_day_ahead,AT_solar_generation_actual,AT_wind_onshore_generation_actual,AT_windspeed_10m,AT_temperature,AT_radiation_direct_horizontal,AT_radiation_diffuse_horizontal
6863,94568,10052.0,8478.0,66.0,91.0,72.0,1.7,5.251,10.8412,113.601
6864,94569,10189.0,8548.0,65.0,148.0,83.0,1.53,6.455,17.1238,165.3865
6865,94570,10152.0,8521.0,65.0,190.0,102.0,1.45,7.39,17.4856,193.6234
6866,94571,9798.0,8238.0,60.0,217.0,122.0,1.71,7.809,10.9449,181.2392
6867,94572,9682.0,7986.0,57.0,227.0,176.0,1.84,7.934,7.9241,164.7429
6868,94573,9466.0,7803.0,53.0,216.0,238.0,1.75,7.99,7.2476,152.5428
6869,94574,9280.0,7688.0,50.0,175.0,205.0,1.64,7.921,5.8592,125.6171
6870,94575,9297.0,7688.0,50.0,112.0,128.0,1.45,7.664,4.22,89.7965
6871,94576,9505.0,7840.0,52.0,53.0,103.0,1.2,7.03,1.9297,43.618
6872,94577,9753.0,8072.0,58.0,18.0,127.0,1.26,5.877,0.099,3.1698
6873,94578,9103.0,7896.0,65.0,0.0,184.0,1.38,5.211,0.0,0.0
6874,94579,8413.0,7309.0,51.0,0.0,256.0,1.48,4.793,0.0,0.0
6875,94580,7663.0,6706.0,43.0,0.0,221.0,1.56,4.442,0.0,0.0
6876,94581,7541.0,6479.0,40.0,0.0,301.0,1.84,4.099,0.0,0.0
6877,94582,7011.0,6030.0,35.0,0.0,476.0,2.15,3.778,0.0,0.0
6878,94583,6600.0,5662.0,35.0,0.0,584.0,2.31,3.338,0.0,0.0
6879,94584,6336.0,5365.0,33.0,0.0,589.0,2.41,2.872,0.0,0.0
6880,94585,6152.0,5221.0,31.0,0.0,624.0,2.43,2.495,0.0,0.0
6881,94586,6028.0,5032.0,32.0,0.0,649.0,2.37,2.185,0.0,0.0
6882,94587,6061.0,5032.0,32.0,0.0,689.0,2.35,1.968,0.0,0.0
6883,94588,6438.0,5275.0,32.0,0.0,687.0,2.42,1.876,0.0,0.0
6884,94589,6950.0,5687.0,35.0,0.0,703.0,2.45,1.837,0.0,0.0
6885,94590,7525.0,6237.0,39.0,13.0,577.0,2.41,1.757,0.0524,1.6354
6886,94591,7962.0,6559.0,44.0,48.0,546.0,2.41,2.335,3.2081,42.7128
6887,94592,8157.0,6872.0,46.0,111.0,384.0,2.34,3.759,19.0802,115.1399
6888,94593,8241.0,6986.0,45.0,180.0,324.0,2.21,5.437,56.3564,179.2314
6889,94594,8229.0,6993.0,44.0,235.0,350.0,2.12,6.735,107.4857,215.9684
